country,combo,year,rf_forecast
Kenya,S_marcescens_3GC,2026,100.0
Kenya,Staphylococcus_epidermidis_3GC,2026,75.0
Kenya,Staphylococcus_haemolyticus_3GC,2026,66.67
Kenya,Staphylococcus_hominis_3GC,2026,66.67
Kenya,Staphylococcus_spp_3GC,2026,100.0
Malawi,Acinetobacter_spp_3GC,2026,100.0
Malawi,P_aeruginosa_3GC,2026,100.0
Malawi,S_aureus_3GC,2026,100.0
Uganda,A_baumannii_3GC,2026,100.0
Uganda,Acinetobacter_spp_3GC,2026,100.0
Uganda,C_freundii_3GC,2026,100.0
Uganda,E_coli_3GC,2026,100.0
Uganda,Enterococcus_spp_3GC,2026,100.0
Uganda,K_pneumoniae_3GC,2026,83.33
Uganda,M_morganii_3GC,2026,100.0
Uganda,P_aeruginosa_3GC,2026,100.0
Uganda,Providencia_spp_3GC,2026,100.0
Uganda,S_aureus_3GC,2026,100.0
Ghana,A_baumannii_3GC,2027,0.0
Ghana,Burkholderia_spp_3GC,2027,100.0
Ghana,C_freundii_3GC,2027,100.0
Ghana,Coagulase_negative_3GC,2027,100.0
Ghana,E_cloacae_3GC,2027,100.0
Ghana,E_coli_3GC,2027,90.0
Ghana,K_pneumoniae_3GC,2027,90.0
Ghana,Klebsiella_spp_3GC,2027,100.0
Ghana,Moraxella_catarrhalis_3GC,2027,100.0
Ghana,P_aeruginosa_3GC,2027,100.0
Ghana,P_mirabilis_3GC,2027,100.0
Ghana,Pantoea_agglomerans_3GC,2027,100.0
Ghana,Pseudomonas_spp_3GC,2027,100.0
Ghana,Staphylococcus_haemolyticus_3GC,2027,100.0
Ghana,Staphylococcus_spp_3GC,2027,50.0
Kenya,A_baumannii_3GC,2027,50.0
Kenya,Achromobacter_xylosoxidans_3GC,2027,100.0
Kenya,Burkholderia_spp_3GC,2027,0.0
Kenya,C_freundii_3GC,2027,100.0
Kenya,Coagulase_negative_Staphylococcus_3GC,2027,100.0
Kenya,E_cloacae_3GC,2027,75.0
Kenya,E_coli_3GC,2027,80.77
Kenya,K_pneumoniae_3GC,2027,90.0
Kenya,Klebsiella_oxytoca_3GC,2027,100.0
Kenya,M_morganii_3GC,2027,100.0
Kenya,P_aeruginosa_3GC,2027,100.0
Kenya,P_mirabilis_3GC,2027,50.0
Kenya,Providencia_spp_3GC,2027,0.0
Kenya,Raoultella_ornithinolytica_3GC,2027,0.0
Kenya,S_aureus_3GC,2027,100.0
Kenya,S_marcescens_3GC,2027,100.0
Kenya,Staphylococcus_epidermidis_3GC,2027,75.0
Kenya,Staphylococcus_haemolyticus_3GC,2027,66.67
Kenya,Staphylococcus_hominis_3GC,2027,66.67
Kenya,Staphylococcus_spp_3GC,2027,100.0
Malawi,Acinetobacter_spp_3GC,2027,100.0
Malawi,P_aeruginosa_3GC,2027,100.0
Malawi,S_aureus_3GC,2027,100.0
Uganda,A_baumannii_3GC,2027,100.0
Uganda,Acinetobacter_spp_3GC,2027,100.0
Uganda,C_freundii_3GC,2027,100.0
Uganda,E_coli_3GC,2027,100.0
Uganda,Enterococcus_spp_3GC,2027,100.0
Uganda,K_pneumoniae_3GC,2027,83.33
Uganda,M_morganii_3GC,2027,100.0
Uganda,P_aeruginosa_3GC,2027,100.0
Uganda,Providencia_spp_3GC,2027,100.0
Uganda,S_aureus_3GC,2027,100.0
Ghana,A_baumannii_3GC,2028,0.0
Ghana,Burkholderia_spp_3GC,2028,100.0
Ghana,C_freundii_3GC,2028,100.0
Ghana,Coagulase_negative_3GC,2028,100.0
Ghana,E_cloacae_3GC,2028,100.0
Ghana,E_coli_3GC,2028,90.0
Ghana,K_pneumoniae_3GC,2028,90.0
Ghana,Klebsiella_spp_3GC,2028,100.0
Ghana,Moraxella_catarrhalis_3GC,2028,100.0
Ghana,P_aeruginosa_3GC,2028,100.0
Ghana,P_mirabilis_3GC,2028,100.0
Ghana,Pantoea_agglomerans_3GC,2028,100.0
Ghana,Pseudomonas_spp_3GC,2028,100.0
Ghana,Staphylococcus_haemolyticus_3GC,2028,100.0
Ghana,Staphylococcus_spp_3GC,2028,50.0
Kenya,A_baumannii_3GC,2028,50.0
Kenya,Achromobacter_xylosoxidans_3GC,2028,100.0
Kenya,Burkholderia_spp_3GC,2028,0.0
Kenya,C_freundii_3GC,2028,100.0
Kenya,Coagulase_negative_Staphylococcus_3GC,2028,100.0
Kenya,E_cloacae_3GC,2028,75.0
Kenya,E_coli_3GC,2028,80.77
Kenya,K_pneumoniae_3GC,2028,90.0
Kenya,Klebsiella_oxytoca_3GC,2028,100.0
Kenya,M_morganii_3GC,2028,100.0
Kenya,P_aeruginosa_3GC,2028,100.0
Kenya,P_mirabilis_3GC,2028,50.0
Kenya,Providencia_spp_3GC,2028,0.0
Kenya,Raoultella_ornithinolytica_3GC,2028,0.0
Kenya,S_aureus_3GC,2028,100.0
Kenya,S_marcescens_3GC,2028,100.0
Kenya,Staphylococcus_epidermidis_3GC,2028,75.0
Kenya,Staphylococcus_haemolyticus_3GC,2028,66.67
Kenya,Staphylococcus_hominis_3GC,2028,66.67
Kenya,Staphylococcus_spp_3GC,2028,100.0
Malawi,Acinetobacter_spp_3GC,2028,100.0
Malawi,P_aeruginosa_3GC,2028,100.0
Malawi,S_aureus_3GC,2028,100.0
Uganda,A_baumannii_3GC,2028,100.0
Uganda,Acinetobacter_spp_3GC,2028,100.0
Uganda,C_freundii_3GC,2028,100.0
Uganda,E_coli_3GC,2028,100.0
Uganda,Enterococcus_spp_3GC,2028,100.0
Uganda,K_pneumoniae_3GC,2028,83.33
Uganda,M_morganii_3GC,2028,100.0
Uganda,P_aeruginosa_3GC,2028,100.0
Uganda,Providencia_spp_3GC,2028,100.0
Uganda,S_aureus_3GC,2028,100.0
Ghana,A_baumannii_3GC,2029,0.0
Ghana,Burkholderia_spp_3GC,2029,100.0
Ghana,C_freundii_3GC,2029,100.0
Ghana,Coagulase_negative_3GC,2029,100.0
Ghana,E_cloacae_3GC,2029,100.0
Ghana,E_coli_3GC,2029,90.0
Ghana,K_pneumoniae_3GC,2029,90.0
Ghana,Klebsiella_spp_3GC,2029,100.0
Ghana,Moraxella_catarrhalis_3GC,2029,100.0
Ghana,P_aeruginosa_3GC,2029,100.0
Ghana,P_mirabilis_3GC,2029,100.0
Ghana,Pantoea_agglomerans_3GC,2029,100.0
Ghana,Pseudomonas_spp_3GC,2029,100.0
Ghana,Staphylococcus_haemolyticus_3GC,2029,100.0
Ghana,Staphylococcus_spp_3GC,2029,50.0
Kenya,A_baumannii_3GC,2029,50.0
Kenya,Achromobacter_xylosoxidans_3GC,2029,100.0
Kenya,Burkholderia_spp_3GC,2029,0.0
Kenya,C_freundii_3GC,2029,100.0
Kenya,Coagulase_negative_Staphylococcus_3GC,2029,100.0
Kenya,E_cloacae_3GC,2029,75.0
Kenya,E_coli_3GC,2029,80.77
Kenya,K_pneumoniae_3GC,2029,90.0
Kenya,Klebsiella_oxytoca_3GC,2029,100.0
Kenya,M_morganii_3GC,2029,100.0
Kenya,P_aeruginosa_3GC,2029,100.0
Kenya,P_mirabilis_3GC,2029,50.0
Kenya,Providencia_spp_3GC,2029,0.0
Kenya,Raoultella_ornithinolytica_3GC,2029,0.0
Kenya,S_aureus_3GC,2029,100.0
Kenya,S_marcescens_3GC,2029,100.0
Kenya,Staphylococcus_epidermidis_3GC,2029,75.0
Kenya,Staphylococcus_haemolyticus_3GC,2029,66.67
Kenya,Staphylococcus_hominis_3GC,2029,66.67
Kenya,Staphylococcus_spp_3GC,2029,100.0
Malawi,Acinetobacter_spp_3GC,2029,100.0
Malawi,P_aeruginosa_3GC,2029,100.0
Malawi,S_aureus_3GC,2029,100.0
Uganda,A_baumannii_3GC,2029,100.0
Uganda,Acinetobacter_spp_3GC,2029,100.0
Uganda,C_freundii_3GC,2029,100.0
Uganda,E_coli_3GC,2029,100.0
Uganda,Enterococcus_spp_3GC,2029,100.0
Uganda,K_pneumoniae_3GC,2029,83.33
Uganda,M_morganii_3GC,2029,100.0
Uganda,P_aeruginosa_3GC,2029,100.0
Uganda,Providencia_spp_3GC,2029,100.0
Uganda,S_aureus_3GC,2029,100.0
Ghana,A_baumannii_3GC,2030,0.0
Ghana,Burkholderia_spp_3GC,2030,100.0
Ghana,C_freundii_3GC,2030,100.0
Ghana,Coagulase_negative_3GC,2030,100.0
Ghana,E_cloacae_3GC,2030,100.0
Ghana,E_coli_3GC,2030,90.0
Ghana,K_pneumoniae_3GC,2030,90.0
Ghana,Klebsiella_spp_3GC,2030,100.0
Ghana,Moraxella_catarrhalis_3GC,2030,100.0
Ghana,P_aeruginosa_3GC,2030,100.0
Ghana,P_mirabilis_3GC,2030,100.0
Ghana,Pantoea_agglomerans_3GC,2030,100.0
Ghana,Pseudomonas_spp_3GC,2030,100.0
Ghana,Staphylococcus_haemolyticus_3GC,2030,100.0
Ghana,Staphylococcus_spp_3GC,2030,50.0
Kenya,A_baumannii_3GC,2030,50.0
Kenya,Achromobacter_xylosoxidans_3GC,2030,100.0
Kenya,Burkholderia_spp_3GC,2030,0.0
Kenya,C_freundii_3GC,2030,100.0
Kenya,Coagulase_negative_Staphylococcus_3GC,2030,100.0
Kenya,E_cloacae_3GC,2030,75.0
Kenya,E_coli_3GC,2030,80.77
Kenya,K_pneumoniae_3GC,2030,90.0
Kenya,Klebsiella_oxytoca_3GC,2030,100.0
Kenya,M_morganii_3GC,2030,100.0
Kenya,P_aeruginosa_3GC,2030,100.0
Kenya,P_mirabilis_3GC,2030,50.0
Kenya,Providencia_spp_3GC,2030,0.0
Kenya,Raoultella_ornithinolytica_3GC,2030,0.0
Kenya,S_aureus_3GC,2030,100.0
Kenya,S_marcescens_3GC,2030,100.0
Kenya,Staphylococcus_epidermidis_3GC,2030,75.0
Kenya,Staphylococcus_haemolyticus_3GC,2030,66.67
Kenya,Staphylococcus_hominis_3GC,2030,66.67
Kenya,Staphylococcus_spp_3GC,2030,100.0
Malawi,Acinetobacter_spp_3GC,2030,100.0
Malawi,P_aeruginosa_3GC,2030,100.0
Malawi,S_aureus_3GC,2030,100.0
Uganda,A_baumannii_3GC,2030,100.0
Uganda,Acinetobacter_spp_3GC,2030,100.0
Uganda,C_freundii_3GC,2030,100.0
Uganda,E_coli_3GC,2030,100.0
Uganda,Enterococcus_spp_3GC,2030,100.0
Uganda,K_pneumoniae_3GC,2030,83.33
Uganda,M_morganii_3GC,2030,100.0
Uganda,P_aeruginosa_3GC,2030,100.0
Uganda,Providencia_spp_3GC,2030,100.0
Uganda,S_aureus_3GC,2030,100.0
